SXF;DE;BER;"Schonefeld Airport";Шенефельд;Europe/Berlin;52.370277;13.521388
YTD;CA;YTD;"Thicket Portage";;America/Winnipeg;55.316666;-97.7
BBX;US;BBX;"Wings Field";;America/New_York;40.136665;-75.2675
ODS;UA;ODS;"Odessa International Airport";Одесса;Europe/Kiev;46.44101;30.676718
ANE;FR;ANE;"Angers-Marce Airport";Анже;Europe/Paris;47.466667;-0.55
BCP;PG;BCP;Bambu;;Pacific/Port_Moresby;-5.85;146.48334
NVK;NO;NVK;Framnes;;Europe/Oslo;68.425;17.425
NSK;RU;NSK;"Noril'sk Airport";Норильск;Asia/Krasnoyarsk;69.32312;87.339806
BCA;CU;BCA;Baracoa;Баракоа;America/Havana;20.35;-74.5
BDB;AU;BDB;"Bundaberg Airport";Бандаберг;Australia/Brisbane;-24.898708;152.32187
AMV;RU;AMV;Amderma;Амдерма;Europe/Moscow;69.76667;61.55
SQI;US;SQI;"Whiteside County";;America/Chicago;41.74;-89.68083
LEZ;HN;LEZ;"La Esperanza";;America/Tegucigalpa;14.25;-88.166664
YUD;CA;YUD;Umiujaq;;America/Montreal;56.53611;-76.51833
BEB;GB;BEB;"Benbecula Airport";Бенбекьюла;Europe/London;57.473415;-7.376028
CXR;VN;NHA;"Cam Ranh International Airport";Камрань;Asia/Ho_Chi_Minh;11.993611;109.225
MOP;US;MOP;Municipal;;America/Detroit;43.61667;-84.73333
SAS;US;SAS;"Salton City";;America/Los_Angeles;33.316666;-115.98333
BDE;US;BDE;Baudette;;America/Chicago;48.72278;-94.60694
BCZ;AU;BCZ;"Bickerton Island";;Australia/Darwin;-13.783333;137.8
YTI;CA;YTI;"Triple Island";;America/Vancouver;-29.456944;142.06223
GZP;TR;GZP;"Gazipasa Airport";Газипаша;Europe/Istanbul;36.2993;32.3014
BDF;US;BDF;Rinkenberger;;America/Chicago;41.183334;-89.65
YTP;CA;YAZ;"Seaplane Base";;America/Vancouver;49.154446;-125.40806
YUE;AU;YUE;Yuendumu;;Australia/Darwin;-22.266666;131.81667
TFS;ES;TCI;"Tenerife South Airport";"Тенерифе Южный";Atlantic/Canary;28.044443;-16.5725
YTX;CA;YTX;"Telegraph Creek";;America/Vancouver;57.9;-131.15
BEK;IN;BEK;Bareli;;Asia/Kolkata;26.216667;81.23333
BEF;NI;BEF;Bluefields;Блуфилдс;America/Managua;11.996944;-83.76861
YUA;CN;YUA;Yuanmou;;Asia/Shanghai;25.65;101.916664
VCE;IT;VCE;"Venice Marco Polo Airport";"Марко Поло";Europe/Rome;45.502285;12.337947
BEH;US;BEH;"Ross Field";;America/Detroit;42.127777;-86.42833
BEI;ET;BEI;Beica;Бейка;Africa/Addis_Ababa;9.391667;34.533333
BQS;RU;BQS;"Blagoveschensk Airport";Благовещенск;Asia/Yakutsk;50.416668;127.4
STN;GB;LON;"Stansted Airport";Стенстед;Europe/London;51.889267;0.262703
ARN;SE;STO;"Stockholm Arlanda Airport";Арланда;Europe/Stockholm;59.64982;17.930365
TJU;TJ;TJU;"Kulyab Airport";Куляб;Asia/Dushanbe;37.988335;69.80666
BFQ;PA;BFQ;"Bahia Pinas";;America/Panama;7.583333;-78.166664
ANT;AT;ANT;"St Anton";;Europe/Vienna;47.15;10.283333
CGN;DE;CGN;"Cologne Bonn Airport";Кельн-Бонн;Europe/Berlin;50.878365;7.122224
BHL;MX;BHL;"Bahia Angeles";Бахиа-Ангелес;America/Santa_Isabel;28.95;-113.55
BFK;US;DEN;"Buffalo Municipal Airport";;America/Denver;39.733334;-104.86667
BFN;ZA;BFN;"Bram Fischer International Airport";Блумфонтейн;Africa/Johannesburg;-29.095854;26.297516
DLM;TR;DLM;"Dalaman Airport";Даламан;Europe/Istanbul;36.716667;28.783333
STE;US;STE;"Stevens Point";;America/Chicago;44.545277;-89.53083
FLH;GB;FLH;Flotta;;Europe/London;58.5;-3
CAI;EG;CAI;"Cairo International Airport";Каир;Africa/Cairo;30.120106;31.40647
BGV;BR;BGV;"Bento Goncalves";;America/Sao_Paulo;-29.166668;-51.516666
CTA;IT;CTA;"Catania-Fontanarossa Airport";Фонтанаросса;Europe/Rome;37.47066;15.065877
YVM;CA;YVM;Qikiqtarjuaq;;America/Pangnirtung;67.583336;-63.833332
VRN;IT;VRN;"Verona Villafranca Airport";Верона;Europe/Rome;45.40233;10.906796
BHT;AU;BHT;"Brighton Downs";;Australia/Brisbane;-23.366667;141.56667
BIB;SO;BIB;Baidoa;Байдоа;Africa/Mogadishu;3.066667;43.63333
MEA;BR;MEA;Macae;;America/Sao_Paulo;-22.35;-41.8
NBX;ID;NBX;Nabire;Набире;Asia/Jayapura;-3.366667;135.43333
ZRH;CH;ZRH;"Zurich Airport";Цюрих;Europe/Zurich;47.450603;8.561746
NPA;US;PNS;"Pensacola NAS";;America/Chicago;30.416668;-87.21667
XAA;AM;EVN;"Yerevan Stadium";"Ереван (стадион)";Asia/Yerevan;40.1762089;44.5011413
BVA;FR;PAR;"Beauvais-Tille Airport";Бовэ-Тиль;Europe/Paris;49.459488;2.110815
BIR;NP;BIR;"Biratnagar Airport";Биратнагар;Asia/Kathmandu;26.434723;87.28333
ZRU;US;BOS;"Boston RT128 Railway";"Бостон (жд вокзал)";America/New_York;42.3584308;-71.0597732
